No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
19556|LCRS B115935.5-063006|180.53855 |  -6.78026 |G| 13746| 0.045852 |PUN |15.64|  0.000|2|0|21|6|1|2|0
19557|WISEA J120209.26+034523.0|180.53861 |   3.75641 |G| 22156| 0.073903 |SLS |17.7g|  0.000|13|0|59|7|4|8|0
19558|WISEA J120209.57+031838.2|180.53990 |   3.31061 |G|  6078| 0.020274 |SLS |17.5g|  0.000|20|0|62|9|7|8|0
19559|WISEA J120209.62-023146.9|180.54011 |  -2.52970 |G| 27041| 0.090200 |SUN |18.94|  0.000|2|0|36|6|1|4|0
19560|WISEA J120209.71+013854.6|180.54049 |   1.64852 |G| 23548| 0.078549 |SLS |18.0g|  0.000|17|0|63|9|5|8|0
19561|2MASX J12021022-0147293|180.54266 |  -1.79154 |G| 24315| 0.081106 |SLS |16.9g|  0.000|26|0|59|11|6|10|0
19562|SDSS J120210.32+010920.5|180.54295 |   1.15576 |G| 25269| 0.084287 |SLS |20.6g|  0.000|0|0|19|3|1|4|0
19563|LCRS B115936.6-024053|180.54317 |  -2.95975 |G| 23444| 0.078200 |SLS |17.7g|  0.000|18|0|60|10|6|8|0
19564|SDSS J120210.39+002641.3|180.54340 |   0.44477 |G| 18492| 0.061683 |SLS |21.1g|  0.000|0|0|23|4|1|4|0
19565|GAMA 055124|180.54374 |  -0.29609 |G|  6099| 0.020344 |SLS |18.3r|  0.000|3|0|1|3|1|0|0
19566|WISEA J120210.50-012306.3|180.54375 |  -1.38509 |G| 29678| 0.098996 |SLS |17.7g|  0.000|23|0|72|12|8|10|0
19567|SDSS J120210.54+003837.7|180.54394 |   0.64379 |G| 23236| 0.077508 |SLS |21.1g|  0.000|0|0|15|2|1|4|0
19568|WISEA J120210.54-003520.0|180.54395 |  -0.58891 |G| 28194| 0.094044 |SLS |17.7g|  0.000|24|0|72|11|8|10|0
19569|WISEA J120211.13-013334.6|180.54638 |  -1.55961 |G| 24733| 0.082500 |SUN |19.68|  0.000|4|0|36|6|1|4|0
19570|SDSS J120211.26+004150.1|180.54697 |   0.69730 |G| 29438| 0.098194 |SLS |20.7g|  0.000|0|0|15|2|1|4|0
19571|WISEA J120211.30-004225.2|180.54708 |  -0.70701 |G| 23004| 0.076732 |SLS |17.9g|  0.000|14|0|57|11|8|8|0
19572|WISEA J120211.36-021225.0|180.54737 |  -2.20696 |G| 15737| 0.052492 |SLS |18.2g|  0.000|9|0|42|9|5|4|0
19573|WISEA J120211.40+052957.8|180.54754 |   5.49940 |G| 23432| 0.078160 |SLS |17.8g|  0.000|17|0|67|6|4|10|0
19574|WISEA J120211.42+033405.9|180.54759 |   3.56831 |G| 26875| 0.089646 |SLS |17.8g|  0.000|17|0|65|6|6|10|0
19575|WISEA J120211.60+090948.5|180.54836 |   9.16350 |G| 18062| 0.060248 |SLS |17.9g|  0.000|12|0|53|5|2|8|0
19576|WISEA J120211.69+003330.9|180.54872 |   0.55861 |G| 23376| 0.077975 |SLS |18.3g|  0.000|13|0|55|10|8|8|0
19577|SDSS J120211.74+012125.1|180.54894 |   1.35697 |G| 23441| 0.078191 |SLS |20.3g|  0.000|0|0|19|3|1|4|0
19578|WISEA J120211.77-001516.7|180.54911 |  -0.25475 |G| 28075| 0.093647 |SLS |18.8r|  0.000|6|0|21|8|3|0|0
19579|WISEA J120211.84+075517.6|180.54935 |   7.92158 |G| 12137| 0.040486 |SLS |18.1g|  0.000|12|0|32|4|3|4|0
19580|2MASX J12021189+0726453|180.54939 |   7.44603 |G| 13079| 0.043627 |SLS |16.4g|  0.000|19|0|36|7|7|6|0
19581|WISEA J120211.90+010936.2|180.54959 |   1.16007 |G| 25410| 0.084760 |SLS |17.2g|  0.000|23|0|67|12|9|10|0
19582|WISEA J120211.94-001428.8|180.54980 |  -0.24137 |G| 27809| 0.092762 |SLS |20.4g|  0.000|2|0|31|4|1|4|0
19583|WISEA J120212.43+085306.1|180.55183 |   8.88504 |G| 16769| 0.055936 |SLS |16.4g|  0.000|20|0|70|7|5|10|0
19584|WISEA J120212.45-034416.3|180.55189 |  -3.73788 |G| 25992| 0.086700 |SUN |19.46|  0.000|1|0|36|6|1|4|0
19585|WISEA J120212.65-012304.5|180.55273 |  -1.38460 |G| 26213| 0.087438 |SLS |18.8g|  0.000|4|0|33|4|1|4|0
19586|WISEA J120212.84+090400.3|180.55350 |   9.06676 |G| 10152| 0.033864 |SLS |17.5g|  0.000|15|0|38|7|5|4|0
19587|SDSS J120212.99+003250.1|180.55418 |   0.54723 |G| 23504| 0.078400 |SLS |21.0g|  0.000|0|0|15|2|1|4|0
19588|WISEA J120213.26+000107.1|180.55527 |   0.01864 |G| 24491| 0.081693 |SLS |18.4g|  0.000|19|0|65|14|9|8|0
19589|WISEA J120213.41-002329.9|180.55589 |  -0.39167 |G| 28541| 0.095202 |SLS |18.7r|  0.000|4|0|40|7|2|4|0
19590|WISEA J120213.42+061658.8|180.55594 |   6.28303 |G| 10893| 0.036336 |SLS |17.6g|  0.000|12|0|32|5|4|4|0
19591|WISEA J120213.57+010809.6|180.55664 |   1.13603 |G| 25181| 0.083995 |SLS |20.0g|  0.000|2|0|32|5|1|4|0
19592|SDSS J120213.72+011300.9|180.55715 |   1.21684 |G| 24469| 0.081620 |SLS |21.5g|  0.000|0|0|15|2|1|4|0
19593|WISEA J120213.83+032629.3|180.55766 |   3.44149 |G| 25835| 0.086176 |SLS |17.7g|  0.000|14|0|62|5|4|10|0
19594|SDSS J120214.47-011345.3|180.56034 |  -1.22928 |G| 28024| 0.093479 |SLS |20.8g|  0.000|0|0|15|2|1|4|0
19595|WISEA J120214.83-002602.3|180.56173 |  -0.43403 |G| 29760| 0.099268 |SLS |20.7g|  0.000|0|0|27|3|1|4|0
19596|WISEA J120215.44-023118.0|180.56437 |  -2.52167 |G| 19069| 0.063608 |SLS |18.1g|  0.000|15|0|63|10|5|8|0
19597|WISEA J120215.45-031923.7|180.56439 |  -3.32327 |G| 20602| 0.068722 |SLS |17.0g|  0.000|22|0|78|12|8|10|0
19598|SDSS J120215.82+004110.2|180.56589 |   0.68617 |G| 24389| 0.081354 |SLS |20.5g|  0.000|0|0|23|4|1|4|0
19599|LCRS B115942.1-022532|180.56634 |  -2.70399 |G| 26961| 0.089933 |SLS |18.1g|  0.000|17|0|65|10|8|10|0
19600|SDSS J120216.24-010148.7|180.56770 |  -1.03028 |G| 27519| 0.091794 |SLS |20.4g|  0.000|0|0|19|3|1|4|0
19601|WISEA J120216.28+051603.4|180.56787 |   5.26762 |G| 23075| 0.076970 |SLS |17.4g|  0.000|18|0|64|6|5|10|0
19602|WISEA J120216.34+000615.0|180.56810 |   0.10418 |G| 23620| 0.078789 |SLS |18.3g|  0.000|15|0|58|10|6|8|0
19603|WISEA J120216.56+044430.2|180.56901 |   4.74174 |G| 22406| 0.074738 |SLS |17.2g|  0.000|14|0|64|6|3|10|0
19604|SDSS J120216.61-011232.2|180.56942 |  -1.20898 |G|  6306| 0.021036 |SLS |21.0g|  0.000|0|0|19|3|1|3|0
19605|SDSS J120216.71-003938.2|180.56976 |  -0.66074 |G|  6049| 0.020176 |SLS |21.3g|  0.000|0|0|15|2|1|3|0
19606|WISEA J120216.95+002108.6|180.57067 |   0.35237 |G| 18523| 0.061787 |SLS |19.35|  0.000|3|0|21|7|2|0|0
